,user,text
216,nj_tierney,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
217,dileep31,"@KimmyKy2 @machinelearn_d Bachelors in Mechanical engineering. After 9 years as data scientist /analyst, now doing Masters in Analytics"
218,chen_mingi,@KimmyKy2 Cybernetic Systems
219,ludmila_janda,"@KimmyKy2 english (with a minor in social and economic justice, whatever that is)"
220,AndrewAbbott,"@KimmyKy2 Economics and political science undergrad
Economics and Data Science masters"
221,healthandstats,@KimmyKy2 Economics and Psychology
222,StevenNHart,"@KimmyKy2 Biotechnology (Bio Major, Chemistry &amp; Business Minor)"
223,GarrettRMooney,@KimmyKy2 Econ
224,majmurr,@KimmyKy2 Mathematics
225,jfdavidson,@KimmyKy2 Econ...but I worked in IT through school
226,indiedataviz,"@KimmyKy2 I did my masters in Quantitative sociology... although in my undergrad, I majored in criminology and visual art"
227,AmberAnalytics,@KimmyKy2 Social Science
228,ndoogan,@KimmyKy2 Social work.
229,AnnaChingChing,@KimmyKy2 Structural Engineering
230,carter_allen_,@KimmyKy2 Stats
231,luketrailrunner,"@KimmyKy2 Marketing, so I feel odd in this bunch 😅. I did lead the Economics club tho!"
232,Corey_Yanofsky,"@KimmyKy2 undergrad: biochemistry, chemical engineering (a double degree program under the title ""Biotechnology"")… https://t.co/KabZgHrCjf"
233,joana_beja,@KimmyKy2 Environmental engineering... swiftly moved to oceanography after graduating though
234,jbono,@KimmyKy2 English
235,nvergos,"@KimmyKy2 Applied math and physics, followed by physics PhD."
236,fledglingStat,"@BenListyg @KimmyKy2 Undergrad: economics, philosophy 

Grad: statistics"
237,mrjoh3,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…"
238,mrjoh3,@KimmyKy2 Ecology and anthropology
239,adantonison,@KimmyKy2 Industrial and Systems Engineering
240,jarvmiller,@KimmyKy2 Stats. Was a stats + math major but dropped it during the last semester bc I didn’t wanna take a class on Friday 😂
241,cnborish,@KimmyKy2 Biomedical engineering
242,chetchavat,"@KimmyKy2 Political Science, Masters in Public Administration"
243,Brandon_Weiss_B,@KimmyKy2 Economics &amp; Music Performance
244,mulderc,@KimmyKy2 Economics &amp; political sci. With minors soc. and psych. Master Econ.
245,Traci_Carson_,"@KimmyKy2 Sports Management, B.A. 
Health Behavior, MPH 
Currently: Epidemiology, PhD candidate"
246,TazPoltorak,@KimmyKy2 English
247,BenListyg,"@KimmyKy2 Undergrad: Psychology w/ a minor in Statistics.

Graduate: Industrial - Organizational Psychology"
