,user,text,clean_response,clean_response_2,clean_response_3
178,AdamJRuby,@KimmyKy2 Physics,Physics,,
179,mjpetrey,"@KimmyKy2 BA: Mathematics
MA: Masters in Teaching, Secondary Math
MS: Analytics (finishing this December)",Math,,
180,TB_Gooner,"@KimmyKy2 BS: Math
MS, PHD: Computational and Applied Math",Math,,
181,bearloga,"@KimmyKy2 Undergrad: Mathematics (Probability &amp; Statistics)
Grad: Statistical Practice",Math,,
182,astroeringrand,@KimmyKy2 Astronomy and Physics https://t.co/KzDedfqdfb,Physics,,
183,kierisi,"@KimmyKy2 BSc: Biochemistry
MA: Secondary Science Education",Biochemistry,,
184,kevinchas,@KimmyKy2 @oscar_b123 Political science.,Political Science,,
185,BriannaNoland,"@KimmyKy2 Bachelor's: mathematical economics, Masters: stats.",Economics,,
186,mmmpork,@KimmyKy2 Anthropology,Anthropology,,
187,canyon289,@KimmyKy2 Mechanical engineering,Engineering,,
188,KermytAnderson,@KimmyKy2 Anthroplogy/Biology,Anthropology,Biology,
189,dorcasmariew,@KimmyKy2 Undergrad - math; grad- Applied Statistics,Math,,
190,MahdiAustian,@KimmyKy2 Liberal Arts &amp; Sciences,Liberal Arts and Sciences,,
191,jesus_guzman,@KimmyKy2 Liberal studies.,Liberal Studies,,
192,heyallisongray,@KimmyKy2 Psychology and Classics (concentration in Latin),Psychology,Classics,
193,mjfabius,@KimmyKy2 Statistics,Statistics,,
194,NumaDhamani,@KimmyKy2 Physics and Chemistry 👩‍🔬,Physics,Chemistry,
195,atmwyatt,@KimmyKy2 French Lit. Master's and PhD work were heavily quantitative. Still find beauty in bringing a humanities b… https://t.co/xmpgxjbgz2,French,,
196,FGoldoust,@KimmyKy2 Electronics and Mathematical physics 🏁,Physics,,
197,patcasrom,"@KimmyKy2 Undergead: Biology, grad: Epidemiology",Biology,,
198,pachamaltese,@KimmyKy2 Business and Economics,Business,Economics,
199,AliseOtilia,@KimmyKy2 Biomedical Science,Biomedical Science,,
200,anywillowbrook,@KimmyKy2 Religion,Religion,,
201,nimrodpriell,@KimmyKy2 Math. Minored in biology in undergrad.,Math,,
202,CoreySparks1,@KimmyKy2 Anthropology,Anthropology,,
203,JeremyBrightbil,"@KimmyKy2 History, with international studies concentration in undergrad, Classical Languages (Greek and Latin) for PhD.",History,,
204,kouvaris3,@KimmyKy2 Accounting which lead me to an audit job at a broker/dealer with lots of data !,Accounting,,
205,dailysup,"@KimmyKy2 Finance &amp; integrated information technology (@MooreSchool, @UofSC_CEC)",Finance,IT,
206,gds506,@KimmyKy2 Forestry,Forestry,,
207,jasdumas,@KimmyKy2 Biomedical Engineering,Engineering,,
208,fistful_of_bass,@KimmyKy2 Ecology and computer science (German Uni) - interesting: many parallels between software architecture and experimental design.,Ecology,Computer Science,
209,brennanpcardiff,"RT @KimmyKy2: If you consider yourself a data scientist/analyst, help me answer a quick one question survey. 

What was your major(s) in co…",,,
210,brennanpcardiff,@KimmyKy2 Biochemistry,Biochemistry,,
211,rbjanis5,@KimmyKy2 Psychology,Psychology,,
212,lta100163,"@KimmyKy2 BS computer science 
MS computer science 
Currently working on MS applied data science",Computer Science,,
213,thisisdaryn,@KimmyKy2 Math + CS,Math,Computer Science,
214,kristophrdelane,@KimmyKy2 Bible and Religion,Religion,,
215,dearbharat1,@KimmyKy2 Physics,Physics,,
216,AGodefroidt,"@KimmyKy2 Communication Sciences—major in Media Effects &amp; Society

Political Sciences—major in International Relati… https://t.co/FQkE2nV0BU",Communication Sciences,,
217,schartkoff,"@KimmyKy2 psychology, with a minor in communication. has served me amazingly well.",Psychology,,
218,GallRaphael,"@KimmyKy2 BSc Liberal Arts &amp; Sciences, MSc Psychological Research",Liberal Arts and Sciences,,
219,dunmireg,@KimmyKy2 Computer science,Computer Science,,
220,gh_firefly,@KimmyKy2 English,English,,
221,shunley42,@KimmyKy2 Psychology and Religion (double major),Psychology,Religion,
222,fmtycho,"@KimmyKy2 Philosophy, and I'm always surprised there aren't more of us on that route. 
Especially Philosophy of Language to NLP",Philosophy,,
223,shourodasgupta,@KimmyKy2 Economics with a healthy dose of statistics.,Economics,,
224,AlanHochberg,"@KimmyKy2 Electrical Engineering, which in 1976 encompassed computer science.",Engineering,,
225,jladata,"@KimmyKy2 Accounting, with a minor in CS for business majors",Accounting,,
226,mfarkhann,@KimmyKy2 Statistics,Statistics,,
227,BeenFrederic,@KimmyKy2 @rstats4ds Forensic science,Forensic Science,,
228,thosjleeper,"@KimmyKy2 Political Science and Global Studies, minor in Spanish.",Political Science,Global Studies,
229,sandrapintor,@KimmyKy2 Organizational Psychology,Psychology,,
230,likyskyhu,@KimmyKy2 Marketing PhD~!,Marketing,,
231,stevepiatkowski,@KimmyKy2 Engineering (General/Electrical Science),Engineering,,
232,vishal_katti,@KimmyKy2 Instrumentation &amp; Control Engineering,Engineering,,
233,DeboraSantoPhD,@daniellequinn88 @KimmyKy2 Similar story here: molecular biology. Then I did a PhD in crop genetics which lead me to the AgTech field.,Biology,,
234,oziel_carneiro,@KimmyKy2 Computer science,Computer Science,,
235,ryan_ames,@KimmyKy2 Urban Planning,Urban Planning,,
236,Shannon_E_Ellis,@KimmyKy2 Biology &amp; Spanish,Biology,Spanish,
237,alycolumbus,@KimmyKy2 Mathematics (w/ a specialization in Applied and Computational Mathematics),Math,,
238,_raneh_,@KimmyKy2 Geography,Geography,,
239,hglanz,@KimmyKy2 Statistics and Mathematics (double major),Statistics,Math,
240,_nelFrattempo,@KimmyKy2 However I am worried by the removal of tweets more and more frequently even in a technical discussion https://t.co/cXtzxLm6KI,,,
241,chiuwilliam,"@KimmyKy2 Economics, but it wasn't enough to get a data science job, so I went back to school to a master degree in Analytics.",Economics,,
242,alonnir,@KimmyKy2 econ,Economics,,
243,_nelFrattempo,@KimmyKy2 Maths / Group Theory,Math,,
